Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             0              0              SAGE           2              18             0.776          0.784          0.861          0.883          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              89             0.750          0.793          0.857          0.925          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              42             0.720          0.783          0.811          0.839          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              81             0.725          0.777          0.789          0.849          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              17             0.795          0.819          0.875          0.869          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              27             0.861          0.838          0.868          0.897          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              6              0.902          0.955          0.831          0.904          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              23             0.800          0.839          0.847          0.893          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              81             0.727          0.730          0.805          0.830          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              99             0.883          0.914          0.747          0.808          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              18             0.846          0.890          0.800          0.777          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              89             0.815          0.824          0.840          0.868          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              17             0.824          0.872          0.841          0.936          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              68             0.800          0.840          0.875          0.904          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              6              0.824          0.800          0.771          0.797          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              27             0.889          0.927          0.864          0.872          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              99             0.750          0.748          0.819          0.883          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              23             0.775          0.806          0.843          0.885          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              89             0.843          0.818          0.894          0.986          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              42             0.805          0.880          0.850          0.894          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              18             0.835          0.809          0.821          0.821          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              81             0.843          0.855          0.841          0.893          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              99             0.759          0.847          0.780          0.846          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              6              0.795          0.824          0.795          0.823          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              17             0.857          0.896          0.825          0.862          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              89             0.773          0.821          0.850          0.870          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              68             0.771          0.873          0.864          0.893          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              42             0.757          0.837          0.800          0.864          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              18             0.718          0.767          0.889          0.905          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              23             0.805          0.883          0.853          0.934          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              27             0.874          0.945          0.753          0.877          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              6              0.831          0.840          0.844          0.899          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              99             0.775          0.808          0.878          0.888          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              81             0.840          0.843          0.847          0.887          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              17             0.821          0.863          0.819          0.873          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              42             0.833          0.860          0.857          0.836          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              6              0.805          0.800          0.889          0.912          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              68             0.800          0.856          0.810          0.840          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              27             0.649          0.757          0.819          0.862          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              18             0.790          0.805          0.771          0.823          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              89             0.790          0.857          0.881          0.910          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              99             0.750          0.811          0.833          0.871          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              17             0.795          0.853          0.876          0.913          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              81             0.800          0.907          0.841          0.802          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              18             0.787          0.804          0.824          0.795          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              42             0.800          0.854          0.846          0.898          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              27             0.821          0.892          0.878          0.887          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              17             0.729          0.785          0.810          0.795          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              6              0.872          0.938          0.791          0.816          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              68             0.795          0.854          0.800          0.886          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              89             0.816          0.878          0.860          0.880          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              99             0.857          0.883          0.857          0.908          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              81             0.753          0.801          0.864          0.863          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              23             0.785          0.876          0.841          0.903          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              42             0.780          0.810          0.872          0.885          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              27             0.800          0.930          0.763          0.742          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              89             0.800          0.839          0.783          0.810          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              81             0.846          0.891          0.795          0.808          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              68             0.780          0.814          0.864          0.920          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              17             0.835          0.852          0.865          0.882          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              99             0.821          0.818          0.853          0.910          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              18             0.800          0.872          0.853          0.911          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              27             0.717          0.631          0.767          0.757          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              42             0.850          0.910          0.889          0.959          Oct30-08:13:26
2              2              1000           20             0              0              SAGE           2              6              0.857          0.902          0.927          0.984          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              99             0.732          0.760          0.857          0.889          Oct30-08:13:25
2              2              1000           20             0              0              SAGE           2              68             0.814          0.839          0.902          0.912          Oct30-08:13:26
