Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             0              0              SAGE           2              18             0.736          0.776          0.861          0.894          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              89             0.742          0.751          0.886          0.948          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              42             0.744          0.779          0.835          0.850          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              17             0.753          0.793          0.850          0.862          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              68             0.791          0.769          0.850          0.910          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              81             0.747          0.786          0.727          0.854          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              27             0.889          0.863          0.875          0.912          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              99             0.883          0.913          0.775          0.816          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              68             0.732          0.754          0.838          0.843          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              23             0.815          0.861          0.841          0.885          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              89             0.819          0.786          0.764          0.787          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              17             0.805          0.847          0.860          0.952          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              81             0.747          0.761          0.825          0.860          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              18             0.814          0.865          0.800          0.818          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              42             0.833          0.891          0.854          0.879          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              81             0.745          0.756          0.831          0.907          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              6              0.900          0.952          0.871          0.954          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              99             0.773          0.790          0.843          0.893          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              89             0.833          0.864          0.864          0.932          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              68             0.805          0.840          0.759          0.778          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              27             0.904          0.945          0.897          0.869          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              23             0.785          0.858          0.840          0.866          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              17             0.889          0.933          0.821          0.871          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              18             0.831          0.877          0.816          0.859          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              81             0.785          0.829          0.841          0.890          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              6              0.825          0.833          0.810          0.811          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              99             0.825          0.825          0.795          0.846          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              42             0.757          0.835          0.825          0.836          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              68             0.800          0.844          0.824          0.811          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              18             0.736          0.710          0.857          0.882          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              17             0.747          0.755          0.838          0.894          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              89             0.784          0.826          0.875          0.862          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              27             0.878          0.921          0.847          0.894          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              6              0.790          0.851          0.810          0.796          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              81             0.886          0.912          0.837          0.815          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              42             0.819          0.896          0.829          0.846          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              68             0.795          0.815          0.857          0.943          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              89             0.805          0.823          0.867          0.927          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              17             0.779          0.828          0.867          0.936          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              99             0.814          0.870          0.881          0.893          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              6              0.791          0.842          0.851          0.862          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              27             0.750          0.828          0.763          0.818          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              42             0.747          0.804          0.872          0.886          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              23             0.779          0.882          0.831          0.880          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              18             0.821          0.918          0.725          0.821          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              68             0.824          0.865          0.889          0.915          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              42             0.782          0.812          0.800          0.828          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              81             0.800          0.861          0.850          0.893          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              89             0.825          0.876          0.881          0.861          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              18             0.780          0.816          0.875          0.918          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              23             0.805          0.852          0.830          0.844          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              27             0.865          0.905          0.900          0.889          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              68             0.753          0.863          0.833          0.862          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              42             0.875          0.913          0.889          0.966          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              89             0.846          0.864          0.794          0.814          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              99             0.875          0.926          0.821          0.851          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              6              0.842          0.852          0.824          0.882          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              81             0.850          0.887          0.795          0.838          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              17             0.835          0.882          0.773          0.852          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              68             0.699          0.702          0.759          0.827          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              27             0.810          0.929          0.750          0.794          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              18             0.810          0.887          0.886          0.914          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              27             0.786          0.773          0.897          0.824          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              81             0.900          0.875          0.884          0.947          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              18             0.779          0.841          0.833          0.874          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              23             0.935          0.963          0.800          0.843          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              89             0.840          0.875          0.854          0.896          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              6              0.916          0.985          0.805          0.840          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              68             0.805          0.899          0.810          0.801          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              99             0.900          0.925          0.886          0.929          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              17             0.816          0.869          0.817          0.897          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              23             0.758          0.861          0.833          0.812          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              18             0.667          0.701          0.831          0.912          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              89             0.684          0.689          0.778          0.812          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              27             0.822          0.862          0.892          0.912          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              68             0.795          0.893          0.839          0.914          Oct30-08:15:06
2              2              1000           20             0              0              SAGE           2              6              0.875          0.925          0.884          0.978          Oct30-08:15:07
2              2              1000           20             0              0              SAGE           2              42             0.883          0.960          0.805          0.864          Oct30-08:15:06
