Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             0              0              SAGE           2              81             0.725          0.731          0.754          0.852          Oct30-08:17:38
2              2              1000           20             0              0              SAGE           2              18             0.800          0.800          0.843          0.837          Oct30-08:17:38
2              2              1000           20             0              0              SAGE           2              42             0.740          0.799          0.829          0.890          Oct30-08:17:38
2              2              1000           20             0              0              SAGE           2              23             0.782          0.800          0.813          0.843          Oct30-08:17:38
2              2              1000           20             0              0              SAGE           2              17             0.780          0.789          0.821          0.869          Oct30-08:17:38
2              2              1000           20             0              0              SAGE           2              89             0.814          0.816          0.840          0.916          Oct30-08:17:37
2              2              1000           20             0              0              SAGE           2              27             0.875          0.859          0.864          0.923          Oct30-08:17:38
2              2              1000           20             0              0              SAGE           2              99             0.935          0.920          0.795          0.791          Oct30-08:17:38
2              2              1000           20             0              0              SAGE           2              6              0.925          0.974          0.881          0.923          Oct30-08:17:37
2              2              1000           20             0              0              SAGE           2              23             0.769          0.809          0.840          0.851          Oct30-08:17:38
2              2              1000           20             0              0              SAGE           2              81             0.815          0.832          0.838          0.870          Oct30-08:17:38
2              2              1000           20             0              0              SAGE           2              42             0.816          0.887          0.877          0.894          Oct30-08:17:38
2              2              1000           20             0              0              SAGE           2              6              0.805          0.828          0.775          0.801          Oct30-08:17:37
2              2              1000           20             0              0              SAGE           2              17             0.864          0.895          0.871          0.908          Oct30-08:17:38
2              2              1000           20             0              0              SAGE           2              18             0.831          0.911          0.756          0.718          Oct30-08:17:38
2              2              1000           20             0              0              SAGE           2              99             0.819          0.798          0.846          0.874          Oct30-08:17:38
2              2              1000           20             0              0              SAGE           2              89             0.829          0.872          0.835          0.893          Oct30-08:17:37
2              2              1000           20             0              0              SAGE           2              23             0.756          0.792          0.880          0.927          Oct30-08:17:38
2              2              1000           20             0              0              SAGE           2              81             0.771          0.789          0.847          0.868          Oct30-08:17:38
2              2              1000           20             0              0              SAGE           2              27             0.857          0.942          0.850          0.859          Oct30-08:17:38
2              2              1000           20             0              0              SAGE           2              42             0.785          0.814          0.753          0.833          Oct30-08:17:38
2              2              1000           20             0              0              SAGE           2              68             0.800          0.859          0.909          0.913          Oct30-08:17:37
