Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             0              0              SAGE           2              18             0.771          0.804          0.864          0.865          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              17             0.771          0.813          0.864          0.791          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              42             0.727          0.800          0.864          0.895          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              23             0.800          0.818          0.831          0.919          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              27             0.843          0.847          0.911          0.951          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              81             0.779          0.828          0.750          0.903          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              42             0.744          0.843          0.875          0.897          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              18             0.829          0.839          0.786          0.797          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              68             0.810          0.898          0.886          0.916          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              99             0.900          0.920          0.784          0.865          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              17             0.875          0.891          0.860          0.895          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              23             0.785          0.814          0.843          0.844          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              27             0.861          0.946          0.829          0.862          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              6              0.909          0.956          0.889          0.943          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              68             0.750          0.771          0.853          0.904          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              81             0.791          0.821          0.831          0.861          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              42             0.789          0.831          0.829          0.859          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              99             0.758          0.784          0.840          0.890          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              18             0.825          0.832          0.835          0.843          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              68             0.730          0.805          0.771          0.821          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              6              0.819          0.825          0.790          0.791          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              42             0.833          0.888          0.847          0.841          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              89             0.842          0.898          0.923          0.951          Oct30-08:52:37
2              2              1000           20             0              0              SAGE           2              18             0.721          0.705          0.889          0.895          Oct30-08:52:37
