Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             0              0              SAGE           2              18             0.780          0.802          0.861          0.822          Oct30-08:53:34
2              2              1000           20             0              0              SAGE           2              42             0.727          0.812          0.815          0.902          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              27             0.829          0.836          0.846          0.931          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              17             0.805          0.805          0.854          0.864          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              23             0.800          0.832          0.851          0.917          Oct30-08:53:34
2              2              1000           20             0              0              SAGE           2              81             0.747          0.824          0.776          0.914          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              68             0.782          0.814          0.875          0.913          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              42             0.759          0.834          0.875          0.888          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              89             0.843          0.874          0.877          0.908          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              81             0.675          0.714          0.840          0.897          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              99             0.911          0.918          0.744          0.819          Oct30-08:53:34
2              2              1000           20             0              0              SAGE           2              17             0.814          0.869          0.847          0.896          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              68             0.716          0.757          0.886          0.907          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              6              0.872          0.948          0.886          0.951          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              23             0.775          0.825          0.819          0.863          Oct30-08:53:34
2              2              1000           20             0              0              SAGE           2              18             0.829          0.896          0.809          0.829          Oct30-08:53:34
2              2              1000           20             0              0              SAGE           2              89             0.729          0.731          0.782          0.813          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              81             0.753          0.777          0.841          0.880          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              27             0.873          0.975          0.861          0.862          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              99             0.727          0.785          0.810          0.879          Oct30-08:53:34
2              2              1000           20             0              0              SAGE           2              42             0.784          0.871          0.829          0.858          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              6              0.814          0.823          0.800          0.801          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              68             0.773          0.846          0.765          0.807          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              89             0.829          0.854          0.950          0.986          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              18             0.815          0.823          0.825          0.866          Oct30-08:53:34
2              2              1000           20             0              0              SAGE           2              81             0.769          0.836          0.892          0.879          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              99             0.828          0.843          0.800          0.847          Oct30-08:53:34
2              2              1000           20             0              0              SAGE           2              17             0.870          0.921          0.835          0.865          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              42             0.805          0.905          0.881          0.874          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              23             0.805          0.875          0.880          0.930          Oct30-08:53:34
2              2              1000           20             0              0              SAGE           2              6              0.819          0.846          0.850          0.821          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              81             0.850          0.902          0.837          0.830          Oct30-08:53:35
2              2              1000           20             0              0              SAGE           2              18             0.785          0.767          0.892          0.888          Oct30-08:53:34
