Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             0              0              SAGE           2              18             0.800          0.811          0.864          0.876          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              42             0.747          0.801          0.831          0.860          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              17             0.767          0.804          0.864          0.830          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              27             0.810          0.837          0.892          0.919          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              81             0.779          0.824          0.727          0.886          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              68             0.791          0.862          0.854          0.911          Oct30-08:54:07
2              2              1000           20             0              0              SAGE           2              42             0.753          0.829          0.860          0.908          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              68             0.729          0.777          0.868          0.868          Oct30-08:54:07
2              2              1000           20             0              0              SAGE           2              99             0.909          0.901          0.757          0.839          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              81             0.694          0.734          0.829          0.882          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              17             0.810          0.843          0.841          0.896          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              6              0.872          0.952          0.875          0.942          Oct30-08:54:10
2              2              1000           20             0              0              SAGE           2              23             0.833          0.890          0.841          0.937          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              18             0.795          0.895          0.779          0.795          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              27             0.857          0.962          0.861          0.920          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              89             0.878          0.911          0.853          0.949          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              99             0.737          0.752          0.805          0.874          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              68             0.740          0.820          0.779          0.816          Oct30-08:54:07
2              2              1000           20             0              0              SAGE           2              6              0.787          0.813          0.767          0.814          Oct30-08:54:10
2              2              1000           20             0              0              SAGE           2              42             0.778          0.880          0.784          0.830          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              89             0.675          0.732          0.780          0.812          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              23             0.786          0.812          0.829          0.874          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              99             0.824          0.845          0.805          0.873          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              18             0.791          0.855          0.843          0.856          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              6              0.790          0.867          0.815          0.826          Oct30-08:54:10
2              2              1000           20             0              0              SAGE           2              42             0.819          0.893          0.847          0.855          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              89             0.833          0.871          0.921          0.961          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              81             0.871          0.875          0.878          0.967          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              18             0.734          0.755          0.871          0.889          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              23             0.773          0.845          0.907          0.952          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              99             0.769          0.831          0.850          0.883          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              42             0.814          0.830          0.867          0.907          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              89             0.775          0.789          0.861          0.876          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              68             0.873          0.906          0.840          0.862          Oct30-08:54:07
2              2              1000           20             0              0              SAGE           2              42             0.741          0.780          0.819          0.855          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              99             0.795          0.837          0.854          0.884          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              18             0.795          0.862          0.750          0.836          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              89             0.829          0.836          0.833          0.905          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              6              0.841          0.884          0.905          0.870          Oct30-08:54:10
2              2              1000           20             0              0              SAGE           2              17             0.899          0.950          0.789          0.855          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              27             0.897          0.963          0.840          0.907          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              23             0.775          0.882          0.826          0.863          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              81             0.825          0.857          0.809          0.854          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              68             0.800          0.815          0.884          0.926          Oct30-08:54:07
2              2              1000           20             0              0              SAGE           2              42             0.864          0.906          0.902          0.967          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              17             0.756          0.827          0.819          0.870          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              6              0.810          0.842          0.864          0.903          Oct30-08:54:10
2              2              1000           20             0              0              SAGE           2              18             0.790          0.819          0.871          0.916          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              81             0.857          0.897          0.841          0.799          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              27             0.759          0.827          0.805          0.878          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              23             0.923          0.954          0.814          0.849          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              68             0.824          0.839          0.900          0.920          Oct30-08:54:07
2              2              1000           20             0              0              SAGE           2              89             0.810          0.897          0.871          0.901          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              42             0.821          0.907          0.829          0.858          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              17             0.795          0.839          0.876          0.914          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              23             0.783          0.893          0.843          0.827          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              89             0.840          0.867          0.794          0.828          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              68             0.759          0.859          0.825          0.866          Oct30-08:54:07
2              2              1000           20             0              0              SAGE           2              18             0.824          0.888          0.900          0.913          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              81             0.750          0.850          0.833          0.894          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              27             0.853          0.918          0.892          0.902          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              6              0.923          0.956          0.795          0.809          Oct30-08:54:10
2              2              1000           20             0              0              SAGE           2              17             0.790          0.841          0.771          0.805          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              68             0.682          0.752          0.800          0.884          Oct30-08:54:07
2              2              1000           20             0              0              SAGE           2              18             0.800          0.847          0.805          0.848          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              42             0.790          0.868          0.916          0.916          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              81             0.868          0.911          0.786          0.828          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              23             0.878          0.934          0.824          0.860          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              18             0.736          0.796          0.867          0.901          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              68             0.843          0.875          0.795          0.805          Oct30-08:54:07
2              2              1000           20             0              0              SAGE           2              42             0.861          0.879          0.785          0.817          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              81             0.861          0.862          0.905          0.943          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              99             0.900          0.947          0.872          0.935          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              23             0.775          0.869          0.884          0.942          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              6              0.861          0.929          0.905          0.954          Oct30-08:54:10
2              2              1000           20             0              0              SAGE           2              17             0.831          0.896          0.889          0.899          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              68             0.854          0.925          0.857          0.927          Oct30-08:54:07
2              2              1000           20             0              0              SAGE           2              23             0.759          0.768          0.819          0.867          Oct30-08:54:08
2              2              1000           20             0              0              SAGE           2              99             0.810          0.844          0.884          0.927          Oct30-08:54:08
