Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           10             0              0              GIN            2              6              0.857          0.903          0.644          0.877          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              99             0.841          0.885          0.677          0.811          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              18             0.883          0.911          0.789          0.833          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              89             0.818          0.885          0.861          0.909          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              68             0.769          0.903          0.765          0.873          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              17             0.824          0.896          0.853          0.904          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              27             0.778          0.876          0.833          0.879          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              6              0.762          0.920          0.716          0.837          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              42             0.700          0.854          0.719          0.879          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              23             0.800          0.867          0.872          0.889          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              81             0.794          0.890          0.596          0.839          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              99             0.846          0.900          0.783          0.830          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              18             0.750          0.868          0.676          0.822          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              17             0.635          0.850          0.677          0.860          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              68             0.721          0.886          0.621          0.880          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              89             0.667          0.920          0.607          0.889          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              27             0.895          0.921          0.883          0.899          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              81             0.812          0.887          0.750          0.870          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              42             0.719          0.832          0.778          0.900          Oct29-04:34:06
2              2              1000           10             0              0              GIN            2              6              0.596          0.933          0.727          0.866          Oct29-04:34:06
