Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           10             0              1              SAGE           2              6              0.849          0.875          0.892          0.957          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              23             0.806          0.849          0.842          0.916          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              99             0.845          0.849          0.783          0.882          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              42             0.776          0.850          0.812          0.867          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              27             0.816          0.890          0.886          0.967          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              81             0.842          0.853          0.776          0.860          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              17             0.827          0.882          0.875          0.878          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              18             0.889          0.910          0.865          0.936          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              89             0.833          0.901          0.811          0.857          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              68             0.806          0.905          0.883          0.905          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              42             0.841          0.914          0.806          0.895          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              17             0.750          0.875          0.849          0.911          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              81             0.895          0.894          0.829          0.882          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              27             0.877          0.913          0.857          0.863          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              89             0.842          0.870          0.816          0.862          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              6              0.889          0.940          0.767          0.846          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              99             0.849          0.911          0.800          0.865          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              18             0.812          0.894          0.795          0.802          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              68             0.817          0.874          0.883          0.882          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              23             0.835          0.912          0.880          0.882          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              42             0.806          0.890          0.743          0.855          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              17             0.866          0.904          0.827          0.882          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              27             0.818          0.884          0.806          0.864          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              81             0.845          0.881          0.911          0.967          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              89             0.853          0.876          0.904          0.948          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              99             0.861          0.885          0.784          0.832          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              68             0.811          0.868          0.780          0.754          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              6              0.822          0.886          0.806          0.890          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              42             0.833          0.889          0.872          0.877          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              17             0.841          0.908          0.800          0.919          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              27             0.873          0.894          0.761          0.824          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              18             0.880          0.933          0.822          0.863          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              23             0.853          0.884          0.907          0.934          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              99             0.817          0.838          0.740          0.843          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              6              0.833          0.868          0.743          0.877          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              68             0.845          0.858          0.816          0.917          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              42             0.829          0.894          0.846          0.883          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              17             0.877          0.919          0.821          0.859          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              81             0.831          0.848          0.835          0.804          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              89             0.865          0.922          0.789          0.894          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              23             0.800          0.877          0.816          0.859          Oct29-05:53:23
2              2              1000           10             0              1              SAGE           2              27             0.812          0.876          0.907          0.943          Oct29-05:53:23
