Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             0              0              GIN            1              81             0.676          0.742          0.763          0.828          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              17             0.733          0.765          0.791          0.814          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              23             0.767          0.788          0.783          0.886          Oct30-09:57:36
2              2              1000           20             0              0              GIN            1              42             0.795          0.817          0.778          0.812          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              18             0.730          0.787          0.821          0.833          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              27             0.780          0.800          0.857          0.918          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              68             0.780          0.806          0.824          0.889          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              89             0.829          0.838          0.865          0.918          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              81             0.712          0.759          0.785          0.834          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              23             0.738          0.775          0.736          0.793          Oct30-09:57:36
2              2              1000           20             0              0              GIN            1              68             0.744          0.746          0.769          0.818          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              6              0.892          0.961          0.809          0.870          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              81             0.725          0.769          0.828          0.877          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              42             0.840          0.868          0.815          0.869          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              99             0.895          0.904          0.775          0.784          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              89             0.790          0.806          0.765          0.786          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              18             0.816          0.867          0.744          0.814          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              6              0.790          0.797          0.786          0.806          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              99             0.756          0.760          0.795          0.827          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              27             0.907          0.965          0.835          0.866          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              89             0.819          0.822          0.851          0.985          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              23             0.800          0.844          0.883          0.926          Oct30-09:57:36
2              2              1000           20             0              0              GIN            1              17             0.857          0.913          0.860          0.933          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              99             0.810          0.846          0.795          0.806          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              6              0.744          0.804          0.773          0.794          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              89             0.734          0.775          0.805          0.818          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              68             0.811          0.896          0.747          0.822          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              81             0.795          0.846          0.828          0.832          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              42             0.784          0.867          0.785          0.821          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              6              0.800          0.821          0.824          0.860          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              27             0.861          0.900          0.800          0.829          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              68             0.734          0.817          0.778          0.806          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              89             0.747          0.821          0.867          0.863          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              23             0.811          0.895          0.813          0.903          Oct30-09:57:36
2              2              1000           20             0              0              GIN            1              6              0.790          0.796          0.789          0.859          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              42             0.795          0.814          0.818          0.813          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              27             0.676          0.753          0.720          0.796          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              18             0.840          0.843          0.805          0.833          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              99             0.771          0.843          0.884          0.841          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              42             0.756          0.823          0.805          0.861          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              18             0.685          0.749          0.864          0.882          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              42             0.716          0.772          0.763          0.828          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              81             0.835          0.900          0.825          0.803          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              89             0.825          0.878          0.847          0.865          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              17             0.836          0.911          0.831          0.849          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              99             0.786          0.821          0.821          0.828          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              81             0.747          0.806          0.775          0.831          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              68             0.821          0.812          0.894          0.912          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              89             0.800          0.856          0.730          0.768          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              6              0.904          0.962          0.744          0.768          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              42             0.864          0.886          0.860          0.929          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              17             0.707          0.769          0.795          0.859          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              27             0.865          0.891          0.897          0.948          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              99             0.785          0.829          0.829          0.844          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              17             0.750          0.789          0.818          0.897          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              81             0.789          0.898          0.800          0.839          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              18             0.811          0.892          0.771          0.824          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              81             0.775          0.836          0.831          0.889          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              27             0.800          0.937          0.771          0.742          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              6              0.864          0.859          0.902          0.931          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              68             0.805          0.846          0.850          0.878          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              99             0.795          0.828          0.854          0.889          Oct30-09:57:35
2              2              1000           20             0              0              GIN            1              23             0.946          0.975          0.843          0.826          Oct30-09:57:36
2              2              1000           20             0              0              GIN            1              18             0.780          0.797          0.800          0.816          Oct30-09:57:35
