Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             0              0              SAGE           2              42             0.730          0.801          0.825          0.886          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              18             0.800          0.814          0.892          0.916          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              89             0.761          0.808          0.880          0.925          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              17             0.744          0.787          0.813          0.814          Oct30-18:52:52
2              2              1000           20             0              0              SAGE           2              81             0.750          0.775          0.735          0.872          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              23             0.791          0.828          0.854          0.921          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              68             0.756          0.829          0.875          0.924          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              99             0.861          0.915          0.747          0.788          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              42             0.753          0.834          0.857          0.889          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              81             0.675          0.733          0.840          0.890          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              6              0.892          0.958          0.874          0.941          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              68             0.741          0.764          0.853          0.888          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              23             0.759          0.802          0.810          0.874          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              17             0.854          0.879          0.851          0.946          Oct30-18:52:52
2              2              1000           20             0              0              SAGE           2              99             0.764          0.797          0.875          0.876          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              18             0.867          0.909          0.759          0.764          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              27             0.923          0.934          0.907          0.950          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              81             0.800          0.799          0.841          0.922          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              6              0.791          0.853          0.769          0.795          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              68             0.779          0.835          0.800          0.802          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              42             0.767          0.836          0.815          0.847          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              99             0.847          0.862          0.800          0.825          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              23             0.816          0.887          0.907          0.935          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              27             0.919          0.943          0.883          0.873          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              18             0.829          0.829          0.835          0.863          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              89             0.831          0.875          0.815          0.873          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              81             0.800          0.853          0.824          0.846          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              6              0.780          0.811          0.821          0.857          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              42             0.819          0.866          0.881          0.889          Oct30-18:52:51
2              2              1000           20             0              0              SAGE           2              17             0.870          0.917          0.821          0.869          Oct30-18:52:52
2              2              1000           20             0              0              SAGE           2              99             0.756          0.810          0.884          0.902          Oct30-18:52:51
