Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             0              1              GIN            1              81             0.675          0.731          0.761          0.864          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              42             0.773          0.811          0.861          0.892          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              18             0.763          0.814          0.864          0.868          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              17             0.767          0.796          0.847          0.824          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              68             0.786          0.833          0.875          0.892          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              99             0.831          0.882          0.740          0.784          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              89             0.840          0.834          0.877          0.918          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              27             0.829          0.843          0.868          0.929          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              23             0.805          0.877          0.847          0.914          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              81             0.658          0.752          0.789          0.869          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              99             0.753          0.749          0.829          0.864          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              6              0.886          0.953          0.854          0.934          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              17             0.795          0.854          0.881          0.946          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              68             0.729          0.748          0.846          0.890          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              42             0.846          0.867          0.853          0.872          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              18             0.835          0.839          0.805          0.845          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              99             0.783          0.846          0.759          0.810          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              6              0.759          0.812          0.805          0.803          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              81             0.737          0.801          0.847          0.906          Oct30-10:26:25
2              2              1000           20             0              1              GIN            1              68             0.727          0.824          0.795          0.831          Oct30-10:26:25
