Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             1              0              GIN            1              17             0.747          0.783          0.829          0.816          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              18             0.765          0.806          0.759          0.839          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              27             0.774          0.786          0.827          0.910          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              81             0.725          0.742          0.712          0.842          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              42             0.795          0.818          0.842          0.850          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              99             0.817          0.886          0.778          0.817          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              89             0.846          0.875          0.895          0.968          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              68             0.810          0.850          0.883          0.876          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              17             0.791          0.825          0.860          0.941          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              81             0.649          0.709          0.771          0.765          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              23             0.854          0.859          0.847          0.905          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              42             0.816          0.870          0.868          0.905          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              68             0.729          0.746          0.842          0.869          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              6              0.911          0.961          0.878          0.906          Oct30-18:27:37
2              2              1000           20             1              0              GIN            1              99             0.791          0.824          0.854          0.888          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              18             0.750          0.853          0.805          0.803          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              23             0.780          0.793          0.786          0.824          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              6              0.765          0.806          0.765          0.828          Oct30-18:27:37
2              2              1000           20             1              0              GIN            1              81             0.833          0.833          0.847          0.869          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              99             0.828          0.851          0.805          0.818          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              89             0.840          0.849          0.815          0.823          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              42             0.783          0.871          0.850          0.818          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              27             0.886          0.967          0.861          0.844          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              17             0.848          0.928          0.821          0.835          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              68             0.795          0.891          0.805          0.827          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              42             0.791          0.810          0.828          0.821          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              89             0.815          0.819          0.935          0.975          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              23             0.789          0.846          0.895          0.936          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              18             0.875          0.854          0.795          0.844          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              17             0.789          0.807          0.829          0.880          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              81             0.790          0.836          0.854          0.818          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              6              0.831          0.862          0.785          0.797          Oct30-18:27:37
2              2              1000           20             1              0              GIN            1              99             0.846          0.847          0.902          0.901          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              42             0.776          0.791          0.810          0.860          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              89             0.723          0.740          0.831          0.859          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              18             0.720          0.741          0.864          0.891          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              6              0.795          0.843          0.813          0.868          Oct30-18:27:37
2              2              1000           20             1              0              GIN            1              42             0.784          0.826          0.805          0.873          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              89             0.723          0.746          0.854          0.853          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              17             0.822          0.884          0.843          0.879          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              23             0.805          0.925          0.792          0.841          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              27             0.909          0.940          0.821          0.847          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              89             0.784          0.856          0.843          0.870          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              6              0.806          0.823          0.872          0.930          Oct30-18:27:37
2              2              1000           20             1              0              GIN            1              42             0.805          0.881          0.935          0.947          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              27             0.676          0.774          0.785          0.853          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              89             0.789          0.843          0.765          0.782          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              99             0.815          0.879          0.827          0.908          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              81             0.897          0.920          0.884          0.824          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              18             0.816          0.868          0.784          0.808          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              68             0.870          0.895          0.815          0.833          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              17             0.849          0.881          0.800          0.805          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              18             0.718          0.775          0.765          0.821          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              27             0.833          0.868          0.861          0.927          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              81             0.810          0.819          0.875          0.864          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              89             0.846          0.866          0.825          0.853          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              6              0.909          0.958          0.740          0.826          Oct30-18:27:37
2              2              1000           20             1              0              GIN            1              23             0.935          0.984          0.840          0.842          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              18             0.850          0.804          0.880          0.896          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              42             0.838          0.919          0.886          0.863          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              81             0.831          0.900          0.780          0.834          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              99             0.868          0.897          0.868          0.898          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              68             0.872          0.864          0.902          0.919          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              89             0.789          0.792          0.767          0.796          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              18             0.805          0.868          0.843          0.862          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              23             0.805          0.851          0.819          0.819          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              81             0.771          0.819          0.857          0.936          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              27             0.878          0.953          0.813          0.784          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              68             0.796          0.818          0.861          0.896          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              6              0.861          0.906          0.902          0.945          Oct30-18:27:37
2              2              1000           20             1              0              GIN            1              99             0.835          0.832          0.889          0.897          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              27             0.697          0.707          0.843          0.743          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              99             0.718          0.790          0.840          0.897          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              18             0.693          0.803          0.857          0.910          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              42             0.750          0.821          0.905          0.911          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              17             0.806          0.874          0.789          0.908          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              81             0.870          0.932          0.900          0.918          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              6              0.846          0.880          0.875          0.910          Oct30-18:27:37
2              2              1000           20             1              0              GIN            1              89             0.895          0.892          0.840          0.841          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              99             0.805          0.800          0.840          0.861          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              18             0.785          0.854          0.815          0.790          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              27             0.840          0.891          0.816          0.858          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              68             0.817          0.908          0.805          0.850          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              17             0.846          0.869          0.867          0.866          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              99             0.727          0.785          0.676          0.733          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              27             0.723          0.728          0.800          0.879          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              23             0.904          0.936          0.821          0.813          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              68             0.652          0.686          0.829          0.855          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              42             0.857          0.894          0.722          0.798          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              6              0.883          0.912          0.857          0.844          Oct30-18:27:37
2              2              1000           20             1              0              GIN            1              81             0.875          0.894          0.821          0.810          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              6              0.825          0.832          0.795          0.828          Oct30-18:27:37
2              2              1000           20             1              0              GIN            1              23             0.838          0.918          0.821          0.891          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              27             0.880          0.923          0.814          0.818          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              17             0.853          0.911          0.800          0.828          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              68             0.878          0.918          0.833          0.826          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              17             0.757          0.789          0.833          0.851          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              23             0.795          0.859          0.850          0.842          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              23             0.831          0.918          0.864          0.876          Oct30-18:27:36
2              2              1000           20             1              0              GIN            1              68             0.880          0.921          0.867          0.897          Oct30-18:27:36
