Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             1              0              SAGE           2              81             0.734          0.729          0.727          0.879          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              17             0.782          0.783          0.831          0.825          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              42             0.747          0.809          0.840          0.851          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              18             0.775          0.811          0.878          0.890          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              27             0.800          0.807          0.846          0.930          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              68             0.791          0.809          0.886          0.895          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              99             0.878          0.897          0.747          0.834          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              23             0.800          0.815          0.822          0.905          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              6              0.881          0.935          0.864          0.909          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              81             0.738          0.753          0.829          0.895          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              68             0.750          0.752          0.868          0.870          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              17             0.814          0.836          0.881          0.939          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              42             0.835          0.846          0.884          0.887          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              23             0.736          0.775          0.833          0.868          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              89             0.854          0.887          0.907          0.939          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              99             0.778          0.803          0.875          0.867          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              6              0.829          0.835          0.765          0.809          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              27             0.886          0.959          0.861          0.887          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              18             0.861          0.921          0.753          0.805          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              81             0.767          0.782          0.902          0.918          Oct30-19:42:01
2              2              1000           20             1              0              SAGE           2              89             0.721          0.735          0.800          0.819          Oct30-19:42:01
