Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             0              0              GIN            1              81             0.711          0.745          0.757          0.808          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              18             0.730          0.802          0.819          0.818          Oct31-01:47:11
2              2              1000           20             0              0              GIN            1              17             0.753          0.771          0.782          0.780          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              89             0.829          0.839          0.868          0.922          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              42             0.795          0.810          0.773          0.815          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              27             0.780          0.806          0.814          0.905          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              68             0.786          0.804          0.872          0.892          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              23             0.765          0.793          0.837          0.906          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              81             0.725          0.742          0.747          0.828          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              68             0.791          0.767          0.800          0.824          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              89             0.785          0.819          0.782          0.777          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              23             0.738          0.775          0.721          0.788          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              42             0.842          0.861          0.831          0.886          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              81             0.734          0.776          0.857          0.868          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              18             0.853          0.885          0.725          0.786          Oct31-01:47:11
2              2              1000           20             0              0              GIN            1              89             0.780          0.819          0.881          0.976          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              99             0.883          0.896          0.795          0.828          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              6              0.925          0.955          0.871          0.893          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              81             0.729          0.749          0.809          0.826          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              89             0.756          0.780          0.795          0.805          Oct31-01:47:10
2              2              1000           20             0              0              GIN            1              99             0.756          0.762          0.800          0.846          Oct31-01:47:10
