Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             0              0              SAGE           2              81             0.703          0.734          0.822          0.904          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              18             0.790          0.820          0.881          0.896          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              17             0.759          0.820          0.837          0.877          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              42             0.761          0.824          0.864          0.857          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              23             0.818          0.834          0.809          0.889          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              99             0.886          0.915          0.779          0.840          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              27             0.871          0.848          0.889          0.951          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              68             0.786          0.841          0.886          0.906          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              81             0.744          0.785          0.821          0.893          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              18             0.847          0.836          0.741          0.824          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              17             0.833          0.875          0.841          0.933          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              42             0.824          0.868          0.871          0.917          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              68             0.750          0.766          0.911          0.899          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              99             0.763          0.807          0.854          0.875          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              23             0.771          0.800          0.843          0.865          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              27             0.849          0.951          0.854          0.900          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              6              0.897          0.963          0.902          0.942          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              99             0.779          0.848          0.795          0.839          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              89             0.854          0.874          0.883          0.943          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              81             0.819          0.850          0.847          0.932          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              6              0.819          0.820          0.819          0.792          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              42             0.773          0.878          0.829          0.830          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              68             0.831          0.889          0.795          0.851          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              89             0.723          0.767          0.782          0.825          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              23             0.800          0.874          0.907          0.939          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              99             0.767          0.808          0.874          0.888          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              18             0.821          0.887          0.810          0.896          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              81             0.761          0.812          0.822          0.858          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              42             0.833          0.879          0.857          0.837          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              6              0.782          0.858          0.840          0.808          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              89             0.833          0.852          0.938          0.986          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              99             0.800          0.837          0.867          0.859          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              18             0.747          0.785          0.867          0.882          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              17             0.899          0.942          0.831          0.859          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              68             0.842          0.911          0.810          0.880          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              81             0.864          0.924          0.841          0.822          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              42             0.824          0.833          0.847          0.908          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              6              0.800          0.849          0.841          0.893          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              89             0.779          0.839          0.886          0.921          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              17             0.790          0.821          0.833          0.876          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              42             0.765          0.760          0.805          0.879          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              81             0.780          0.818          0.843          0.862          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              68             0.819          0.828          0.894          0.931          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              6              0.795          0.829          0.840          0.872          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              18             0.790          0.892          0.780          0.843          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              23             0.827          0.923          0.805          0.844          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              89             0.829          0.829          0.864          0.916          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              42             0.878          0.904          0.902          0.960          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              17             0.805          0.864          0.854          0.934          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              27             0.923          0.979          0.810          0.881          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              81             0.857          0.893          0.828          0.819          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              68             0.814          0.812          0.875          0.894          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              99             0.897          0.920          0.842          0.913          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              18             0.795          0.790          0.800          0.889          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              23             0.935          0.960          0.854          0.850          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              89             0.850          0.880          0.884          0.898          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              17             0.721          0.803          0.795          0.802          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              42             0.795          0.899          0.833          0.861          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              81             0.846          0.840          0.857          0.915          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              27             0.703          0.799          0.778          0.846          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              68             0.763          0.849          0.847          0.878          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              99             0.810          0.846          0.874          0.929          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              18             0.795          0.841          0.860          0.927          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              89             0.805          0.859          0.771          0.808          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              23             0.795          0.890          0.819          0.888          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              27             0.849          0.886          0.902          0.935          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              17             0.843          0.898          0.831          0.886          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              81             0.835          0.925          0.857          0.915          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              99             0.790          0.796          0.828          0.885          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              89             0.827          0.837          0.800          0.894          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              18             0.805          0.871          0.847          0.885          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              68             0.747          0.789          0.821          0.908          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              18             0.747          0.708          0.818          0.911          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              81             0.764          0.862          0.787          0.852          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              6              0.937          0.966          0.789          0.819          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              89             0.775          0.746          0.800          0.805          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              99             0.795          0.843          0.914          0.869          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              17             0.843          0.896          0.822          0.854          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              23             0.875          0.925          0.867          0.848          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              42             0.805          0.876          0.861          0.904          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              68             0.833          0.884          0.764          0.805          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              18             0.805          0.843          0.857          0.858          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              23             0.824          0.861          0.916          0.922          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              99             0.784          0.830          0.795          0.783          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              17             0.776          0.884          0.795          0.837          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              89             0.854          0.897          0.833          0.892          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              42             0.829          0.868          0.765          0.797          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              6              0.864          0.932          0.894          0.972          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              23             0.782          0.791          0.805          0.873          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              17             0.775          0.819          0.857          0.834          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              27             0.927          0.989          0.796          0.857          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              6              0.782          0.801          0.867          0.909          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              23             0.853          0.916          0.833          0.862          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              27             0.741          0.757          0.854          0.828          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              6              0.857          0.902          0.884          0.885          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              27             0.795          0.854          0.880          0.912          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              68             0.872          0.934          0.857          0.920          Oct31-01:53:16
2              2              1000           20             0              0              SAGE           2              6              0.791          0.784          0.795          0.873          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              27             0.757          0.771          0.861          0.924          Oct31-01:53:15
2              2              1000           20             0              0              SAGE           2              27             0.886          0.862          0.787          0.789          Oct31-01:53:15
