Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             0              1              GIN            1              81             0.684          0.750          0.750          0.914          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              17             0.766          0.793          0.778          0.835          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              18             0.769          0.814          0.878          0.882          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              42             0.767          0.829          0.821          0.858          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              99             0.825          0.882          0.740          0.816          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              23             0.786          0.853          0.851          0.896          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              27             0.819          0.837          0.889          0.948          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              81             0.725          0.765          0.795          0.815          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              99             0.745          0.773          0.840          0.876          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              17             0.786          0.846          0.851          0.920          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              68             0.791          0.893          0.875          0.912          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              6              0.914          0.952          0.871          0.869          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              42             0.850          0.864          0.875          0.875          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              18             0.835          0.857          0.759          0.812          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              23             0.780          0.849          0.790          0.802          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              6              0.833          0.812          0.790          0.815          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              27             0.833          0.923          0.872          0.887          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              81             0.771          0.797          0.814          0.903          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              99             0.847          0.841          0.790          0.863          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              68             0.753          0.794          0.838          0.872          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              17             0.824          0.896          0.838          0.875          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              23             0.757          0.796          0.883          0.937          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              89             0.875          0.922          0.811          0.868          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              42             0.765          0.872          0.769          0.827          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              17             0.737          0.799          0.825          0.894          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              81             0.815          0.843          0.795          0.811          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              18             0.850          0.881          0.831          0.901          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              99             0.741          0.821          0.857          0.889          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              6              0.864          0.907          0.816          0.839          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              68             0.827          0.891          0.821          0.847          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              42             0.857          0.874          0.843          0.825          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              27             0.861          0.891          0.850          0.856          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              89             0.795          0.827          0.805          0.840          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              17             0.750          0.804          0.841          0.939          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              18             0.707          0.726          0.864          0.879          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              27             0.692          0.711          0.821          0.816          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              42             0.767          0.813          0.800          0.863          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              89             0.771          0.769          0.854          0.947          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              6              0.844          0.879          0.828          0.914          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              81             0.864          0.912          0.837          0.802          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              42             0.759          0.791          0.810          0.840          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              17             0.765          0.849          0.775          0.820          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              6              0.759          0.799          0.850          0.911          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              27             0.835          0.875          0.878          0.893          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              68             0.853          0.924          0.800          0.832          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              23             0.827          0.951          0.841          0.866          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              81             0.785          0.815          0.814          0.871          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              42             0.840          0.898          0.881          0.933          Oct31-04:02:10
2              2              1000           20             0              1              GIN            1              89             0.795          0.841          0.877          0.914          Oct31-04:02:10
