Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             0              1              SAGE           2              81             0.714          0.743          0.845          0.912          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              18             0.814          0.821          0.860          0.872          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              17             0.774          0.811          0.787          0.861          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              23             0.804          0.830          0.851          0.926          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              42             0.800          0.826          0.805          0.844          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              27             0.822          0.802          0.874          0.933          Oct31-03:33:37
2              2              1000           20             0              1              SAGE           2              99             0.864          0.867          0.759          0.831          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              81             0.698          0.721          0.824          0.853          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              18             0.795          0.826          0.765          0.861          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              17             0.759          0.841          0.841          0.894          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              99             0.727          0.761          0.821          0.842          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              23             0.765          0.793          0.833          0.871          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              42             0.787          0.848          0.871          0.873          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              81             0.810          0.837          0.841          0.914          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              99             0.791          0.850          0.800          0.873          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              68             0.775          0.857          0.872          0.900          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              18             0.829          0.852          0.821          0.854          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              6              0.857          0.958          0.914          0.958          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              99             0.750          0.745          0.864          0.824          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              23             0.789          0.868          0.865          0.931          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              27             0.873          0.981          0.846          0.840          Oct31-03:33:37
2              2              1000           20             0              1              SAGE           2              89             0.831          0.892          0.849          0.933          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              42             0.778          0.873          0.800          0.861          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              68             0.736          0.773          0.872          0.902          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              81             0.800          0.857          0.791          0.842          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              18             0.759          0.747          0.911          0.896          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              6              0.831          0.821          0.800          0.815          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              89             0.723          0.734          0.778          0.811          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              17             0.899          0.950          0.810          0.869          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              23             0.805          0.871          0.826          0.879          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              42             0.810          0.852          0.871          0.870          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              81             0.815          0.900          0.841          0.798          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              68             0.825          0.846          0.775          0.848          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              6              0.800          0.858          0.816          0.843          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              18             0.795          0.870          0.780          0.835          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              17             0.753          0.807          0.833          0.890          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              89             0.819          0.855          0.905          0.955          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              81             0.742          0.800          0.809          0.882          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              42             0.818          0.842          0.818          0.888          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              27             0.895          0.946          0.810          0.839          Oct31-03:33:37
2              2              1000           20             0              1              SAGE           2              18             0.737          0.789          0.837          0.864          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              17             0.753          0.803          0.851          0.861          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              6              0.796          0.820          0.835          0.879          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              42             0.756          0.793          0.833          0.878          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              27             0.667          0.724          0.747          0.828          Oct31-03:33:37
2              2              1000           20             0              1              SAGE           2              81             0.818          0.906          0.800          0.855          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              68             0.870          0.896          0.835          0.885          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              99             0.840          0.894          0.857          0.921          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              18             0.783          0.827          0.867          0.923          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              6              0.789          0.818          0.853          0.926          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              89             0.825          0.854          0.846          0.894          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              68             0.742          0.756          0.886          0.903          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              42             0.864          0.893          0.889          0.943          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              81             0.854          0.870          0.892          0.941          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              99             0.872          0.888          0.864          0.900          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              27             0.816          0.895          0.864          0.901          Oct31-03:33:37
2              2              1000           20             0              1              SAGE           2              18             0.805          0.862          0.835          0.868          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              68             0.778          0.830          0.819          0.872          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              89             0.805          0.795          0.871          0.897          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              17             0.843          0.870          0.790          0.798          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              18             0.739          0.712          0.822          0.900          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              99             0.819          0.836          0.874          0.929          Oct31-03:33:38
2              2              1000           20             0              1              SAGE           2              27             0.835          0.939          0.796          0.811          Oct31-03:33:37
