Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             1              0              GIN            1              27             0.750          0.762          0.821          0.916          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              42             0.779          0.835          0.773          0.808          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              18             0.776          0.803          0.821          0.848          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              81             0.667          0.733          0.730          0.846          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              17             0.727          0.767          0.824          0.817          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              18             0.762          0.795          0.744          0.818          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              81             0.658          0.711          0.785          0.787          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              68             0.835          0.882          0.842          0.859          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              89             0.889          0.885          0.883          0.961          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              23             0.825          0.871          0.860          0.911          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              6              0.909          0.946          0.881          0.889          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              68             0.759          0.769          0.816          0.838          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              42             0.857          0.876          0.895          0.901          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              17             0.854          0.861          0.881          0.957          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              99             0.865          0.894          0.795          0.832          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              81             0.805          0.811          0.833          0.883          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              6              0.780          0.789          0.779          0.811          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              23             0.785          0.807          0.831          0.853          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              99             0.756          0.791          0.843          0.869          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              27             0.889          0.962          0.872          0.846          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              18             0.861          0.861          0.747          0.848          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              81             0.769          0.803          0.782          0.814          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              99             0.800          0.846          0.800          0.837          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              89             0.840          0.840          0.825          0.807          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              6              0.810          0.865          0.780          0.807          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              17             0.870          0.925          0.805          0.841          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              68             0.811          0.887          0.800          0.821          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              18             0.711          0.739          0.875          0.889          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              42             0.841          0.894          0.810          0.818          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              89             0.815          0.836          0.947          0.977          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              6              0.824          0.850          0.847          0.870          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              81             0.883          0.916          0.874          0.799          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              99             0.846          0.848          0.871          0.879          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              17             0.800          0.821          0.825          0.900          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              42             0.805          0.790          0.867          0.842          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              89             0.738          0.754          0.827          0.869          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              6              0.761          0.798          0.850          0.918          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              81             0.769          0.822          0.864          0.854          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              42             0.814          0.799          0.795          0.856          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              18             0.816          0.861          0.765          0.807          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              89             0.776          0.748          0.867          0.851          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              27             0.923          0.946          0.805          0.856          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              68             0.829          0.883          0.819          0.856          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              42             0.767          0.811          0.795          0.863          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              23             0.784          0.867          0.900          0.940          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              17             0.816          0.876          0.850          0.907          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              18             0.744          0.768          0.843          0.845          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              81             0.857          0.900          0.828          0.850          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              89             0.831          0.860          0.911          0.888          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              81             0.782          0.832          0.878          0.925          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              42             0.868          0.893          0.897          0.924          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              18             0.790          0.799          0.833          0.892          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              89             0.789          0.863          0.771          0.795          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              27             0.735          0.825          0.827          0.889          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              99             0.816          0.868          0.868          0.876          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              6              0.907          0.962          0.789          0.823          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              68             0.857          0.840          0.892          0.886          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              23             0.838          0.911          0.818          0.865          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              42             0.853          0.917          0.886          0.868          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              68             0.778          0.834          0.821          0.887          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              17             0.833          0.889          0.780          0.816          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              18             0.857          0.879          0.835          0.882          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              89             0.880          0.864          0.841          0.863          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              27             0.865          0.886          0.875          0.931          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              81             0.857          0.932          0.889          0.917          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              99             0.806          0.881          0.875          0.897          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              42             0.730          0.785          0.864          0.874          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              68             0.810          0.880          0.827          0.866          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              17             0.831          0.842          0.811          0.887          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              6              0.861          0.897          0.937          0.933          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              81             0.791          0.870          0.800          0.810          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              89             0.789          0.787          0.775          0.782          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              18             0.727          0.797          0.842          0.907          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              68             0.644          0.676          0.815          0.833          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              23             0.933          0.963          0.825          0.830          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              17             0.831          0.849          0.860          0.849          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              42             0.842          0.891          0.753          0.810          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              23             0.795          0.849          0.824          0.820          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              27             0.902          0.985          0.822          0.844          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              99             0.838          0.862          0.861          0.883          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              89             0.897          0.886          0.829          0.869          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              68             0.875          0.894          0.819          0.807          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              27             0.705          0.771          0.847          0.769          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              6              0.846          0.891          0.925          0.928          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              18             0.865          0.884          0.850          0.805          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              68             0.875          0.913          0.831          0.844          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              99             0.789          0.854          0.857          0.895          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              23             0.904          0.934          0.850          0.849          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              17             0.877          0.910          0.795          0.834          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              99             0.776          0.805          0.840          0.852          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              17             0.795          0.826          0.833          0.849          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              6              0.886          0.916          0.851          0.846          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              27             0.872          0.906          0.857          0.873          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              23             0.840          0.885          0.846          0.878          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              99             0.740          0.808          0.667          0.749          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              27             0.716          0.718          0.843          0.882          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              6              0.795          0.800          0.765          0.833          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              23             0.816          0.848          0.867          0.855          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              27             0.880          0.910          0.785          0.809          Oct31-04:02:10
2              2              1000           20             1              0              GIN            1              23             0.831          0.910          0.795          0.825          Oct31-04:02:10
