Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             1              0              SAGE           2              17             0.756          0.786          0.841          0.796          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              27             0.783          0.800          0.851          0.958          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              81             0.744          0.750          0.783          0.895          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              18             0.800          0.808          0.881          0.854          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              42             0.778          0.820          0.810          0.841          Oct31-03:33:38
2              2              1000           20             1              0              SAGE           2              68             0.791          0.838          0.875          0.893          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              23             0.773          0.821          0.826          0.924          Oct31-03:33:38
2              2              1000           20             1              0              SAGE           2              99             0.861          0.879          0.757          0.836          Oct31-03:33:38
2              2              1000           20             1              0              SAGE           2              17             0.769          0.848          0.835          0.916          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              81             0.675          0.713          0.810          0.862          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              68             0.745          0.764          0.840          0.875          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              99             0.723          0.760          0.875          0.896          Oct31-03:33:38
2              2              1000           20             1              0              SAGE           2              6              0.886          0.954          0.914          0.950          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              42             0.815          0.839          0.841          0.885          Oct31-03:33:38
2              2              1000           20             1              0              SAGE           2              23             0.776          0.789          0.833          0.868          Oct31-03:33:38
2              2              1000           20             1              0              SAGE           2              27             0.861          0.959          0.850          0.843          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              89             0.867          0.898          0.919          0.944          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              81             0.800          0.809          0.831          0.913          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              18             0.800          0.889          0.800          0.804          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              6              0.818          0.814          0.790          0.806          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              89             0.707          0.746          0.766          0.816          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              42             0.757          0.858          0.825          0.838          Oct31-03:33:38
2              2              1000           20             1              0              SAGE           2              99             0.818          0.879          0.825          0.886          Oct31-03:33:38
2              2              1000           20             1              0              SAGE           2              81             0.810          0.862          0.857          0.857          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              17             0.882          0.948          0.831          0.890          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              6              0.780          0.851          0.850          0.829          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              68             0.842          0.905          0.810          0.816          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              18             0.835          0.835          0.821          0.850          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              23             0.853          0.879          0.921          0.947          Oct31-03:33:38
2              2              1000           20             1              0              SAGE           2              89             0.795          0.832          0.864          0.992          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              42             0.824          0.848          0.871          0.844          Oct31-03:33:38
2              2              1000           20             1              0              SAGE           2              27             0.914          0.952          0.815          0.889          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              18             0.753          0.711          0.878          0.902          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              6              0.783          0.844          0.851          0.891          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              99             0.805          0.850          0.860          0.839          Oct31-03:33:38
2              2              1000           20             1              0              SAGE           2              17             0.741          0.807          0.765          0.875          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              81             0.861          0.915          0.851          0.824          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              42             0.782          0.793          0.814          0.894          Oct31-03:33:38
2              2              1000           20             1              0              SAGE           2              89             0.790          0.795          0.864          0.874          Oct31-03:33:37
2              2              1000           20             1              0              SAGE           2              23             0.810          0.872          0.813          0.872          Oct31-03:33:38
2              2              1000           20             1              0              SAGE           2              27             0.684          0.686          0.789          0.862          Oct31-03:33:37
