Num Threads    Batch Size     Epochs         Patience       Undirected     Bidirectional  GNN            # Layers       seed           F1 Val         ROC Val        F1 Test        ROC Test       ts            
2              2              1000           20             0              0              SAGE           2              18             0.790          0.814          0.857          0.865          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              89             0.769          0.783          0.840          0.930          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              42             0.727          0.801          0.825          0.887          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              17             0.765          0.782          0.819          0.893          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              99             0.800          0.825          0.785          0.781          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              68             0.782          0.855          0.854          0.912          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              23             0.800          0.824          0.831          0.869          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              81             0.744          0.849          0.812          0.940          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              99             0.727          0.772          0.776          0.851          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              42             0.773          0.812          0.864          0.866          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              89             0.769          0.782          0.790          0.820          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              68             0.706          0.731          0.804          0.855          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              17             0.795          0.880          0.822          0.887          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              23             0.750          0.811          0.833          0.855          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              6              0.897          0.972          0.902          0.946          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              81             0.675          0.752          0.846          0.919          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              99             0.778          0.852          0.744          0.846          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              18             0.857          0.928          0.800          0.833          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              68             0.763          0.845          0.795          0.836          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              42             0.743          0.864          0.815          0.809          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              27             0.900          0.929          0.933          0.961          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              81             0.742          0.750          0.851          0.932          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              6              0.833          0.836          0.775          0.808          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              89             0.840          0.885          0.914          0.953          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              17             0.866          0.917          0.827          0.857          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              42             0.833          0.891          0.851          0.856          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              27             0.892          0.931          0.843          0.852          Oct30-08:34:33
2              2              1000           20             0              0              SAGE           2              81             0.800          0.861          0.864          0.845          Oct30-08:34:33
